ep,pid,ev,mu,sig,mean,best,ent,buf,step
300,3445746,-0.047,-0.00034,0.1,,,,,
301,3445746,+0.130,-0.00034,0.1,,,,,
302,3445746,-5.421,-0.00034,0.1,,,,,
303,3445746,-0.717,-0.00034,0.1,,,,,
304,3445746,-1.966,-0.00034,0.1,,,,,
305,3445746,-0.165,-0.00034,0.1,,,,,
306,3445746,-0.035,-0.00034,0.1,,,,,
307,3445746,-0.002,-0.00034,0.1,,,,,
308,3445746,-0.461,-0.00034,0.1,,,,,
309,3445746,-0.121,-0.00034,0.1,,,,,
310,3445746,-0.661,-0.00034,0.1,,,,,
311,3445746,-0.251,-0.00034,0.1,,,,,
312,3445746,-0.902,-0.00034,0.1,,,,,
313,3445746,-0.085,-0.00034,0.1,,,,,
314,3445746,+0.496,-0.00034,0.1,,,,,
315,3445746,-0.948,-0.00034,0.1,,,,,
316,3445746,-0.171,-0.00034,0.1,,,,,
317,3445746,-3.375,-0.00034,0.1,,,,,
318,3445746,+0.061,-0.00034,0.1,,,,,
319,3445746,-0.917,-0.00034,0.1,,,,,
320,3445746,-0.529,-0.00034,0.1,,,,,
321,3445746,+0.111,-0.00034,0.1,,,,,
322,3445746,-0.064,-0.00034,0.1,,,,,
323,3445746,-0.062,-0.00034,0.1,,,,,
324,3445746,+0.525,-0.00034,0.1,,,,,
325,3445746,-0.341,-0.00034,0.1,,,,,
326,3445746,+0.187,-0.00034,0.1,,,,,
327,3445746,-0.235,-0.00034,0.1,,,,,
328,3445746,+0.326,-0.00034,0.1,,,,,
329,3445746,+0.001,-0.00034,0.1,,,,,
330,3445746,-0.326,-0.00034,0.1,,,,,
331,3445746,-0.076,-0.00034,0.1,,,,,
332,3445746,-0.058,-0.00034,0.1,,,,,
333,3445746,-0.050,-0.00034,0.1,,,,,
334,3445746,-0.306,-0.00034,0.1,,,,,
335,3445746,-0.219,-0.00034,0.1,,,,,
336,3445746,-1.256,-0.00034,0.1,,,,,
337,3445746,-0.175,-0.00034,0.1,,,,,
338,3445746,-0.343,-0.00034,0.1,,,,,
339,3445746,-3.450,-0.00034,0.1,,,,,
340,3445746,+0.019,-0.00034,0.1,,,,,
341,3445746,+0.057,-0.00034,0.1,,,,,
342,3445746,-0.021,-0.00034,0.1,,,,,
343,3445746,-0.012,-0.00034,0.1,,,,,
344,3445746,+0.023,-0.00034,0.1,,,,,
345,3445746,-0.289,-0.00034,0.1,,,,,
346,3445746,-0.038,-0.00034,0.1,,,,,
347,3445746,-0.125,-0.00034,0.1,,,,,
348,3445746,+0.133,-0.00034,0.1,,,,,
349,3445746,-0.038,-0.00034,0.1,,,,,
350,3445746,-0.158,-0.00034,0.1,,,,,
351,3445746,-0.175,-0.00034,0.1,,,,,
352,3445746,-0.100,-0.00034,0.1,,,,,
353,3445746,-1.692,-0.00034,0.1,,,,,
354,3445746,-0.327,-0.00034,0.1,,,,,
355,3445746,-0.487,-0.00034,0.1,,,,,
356,3445746,-0.639,-0.00034,0.1,,,,,
357,3445746,-0.045,-0.00034,0.1,,,,,
