ep,pid,ev,mu,sig,mean,best,ent,buf,step
227,3699610,+0.349,-0.00034,0.1,,,,,
228,3699610,+0.021,-0.00034,0.1,,,,,
229,3699610,+0.574,-0.00034,0.1,,,,,
230,3699610,+0.375,-0.00034,0.1,,,,,
231,3699610,+0.272,-0.00034,0.1,,,,,
232,3699610,-0.225,-0.00034,0.1,,,,,
233,3699610,+0.337,-0.00034,0.1,,,,,
234,3699610,-0.417,-0.00034,0.1,,,,,
235,3699610,-0.083,-0.00034,0.1,,,,,
236,3699610,+0.383,-0.00034,0.1,,,,,
237,3699610,+0.594,-0.00034,0.1,,,,,
238,3699610,+0.494,-0.00034,0.1,,,,,
239,3699610,+0.418,-0.00034,0.1,,,,,
240,3699610,+0.619,-0.00034,0.1,,,,,
241,3699610,+0.679,-0.00034,0.1,,,,,
242,3699610,+0.264,-0.00034,0.1,,,,,
243,3699610,-0.955,-0.00034,0.1,,,,,
244,3699610,+0.438,-0.00034,0.1,,,,,
245,3699610,-0.044,-0.00034,0.1,,,,,
246,3699610,-3.538,-0.00034,0.1,,,,,
247,3699610,-1.227,-0.00034,0.1,,,,,
248,3699610,+0.531,-0.00034,0.1,,,,,
249,3699610,-0.224,-0.00034,0.1,,,,,
250,3699610,+0.576,-0.00034,0.1,,,,,
251,3699610,+0.315,-0.00034,0.1,,,,,
252,3699610,+0.102,-0.00034,0.1,,,,,
253,3699610,-0.138,-0.00034,0.1,,,,,
254,3699610,+0.633,-0.00034,0.1,,,,,
255,3699610,-0.181,-0.00034,0.1,,,,,
256,3699610,-0.035,-0.00034,0.1,,,,,
257,3699610,+0.109,-0.00034,0.1,,,,,
258,3699610,-5.821,-0.00034,0.1,,,,,
259,3699610,-18.307,-0.00034,0.1,,,,,
260,3699610,-2.453,-0.00034,0.1,,,,,
261,3699610,-0.200,-0.00034,0.1,,,,,
262,3699610,-1.952,-0.00034,0.1,,,,,
263,3699610,-0.207,-0.00034,0.1,,,,,
264,3699610,-0.065,-0.00034,0.1,,,,,
265,3699610,-0.550,-0.00034,0.1,,,,,
266,3699610,+0.246,-0.00034,0.1,,,,,
267,3699610,+0.012,-0.00034,0.1,,,,,
268,3699610,+0.429,-0.00034,0.1,,,,,
269,3699610,-0.211,-0.00034,0.1,,,,,
270,3699610,-0.075,-0.00034,0.1,,,,,
271,3699610,-1.024,-0.00034,0.1,,,,,
272,3699610,+0.172,-0.00034,0.1,,,,,
273,3699610,+0.712,-0.00034,0.1,,,,,
274,3699610,-0.166,-0.00034,0.1,,,,,
275,3699610,+0.015,-0.00034,0.1,,,,,
276,3699610,+0.569,-0.00034,0.1,,,,,
277,3699610,+0.359,-0.00034,0.1,,,,,
278,3699610,+0.615,-0.00034,0.1,,,,,
279,3699610,+0.498,-0.00034,0.1,,,,,
280,3699610,+0.525,-0.00034,0.1,,,,,
281,3699610,+0.707,-0.00034,0.1,,,,,
282,3699610,+0.727,-0.00034,0.1,,,,,
283,3699610,+0.465,-0.00034,0.1,,,,,
284,3699610,+0.021,-0.00034,0.1,,,,,
285,3699610,-0.365,-0.00034,0.1,,,,,
286,3699610,+0.400,-0.00034,0.1,,,,,
287,3699610,-0.075,-0.00034,0.1,,,,,
288,3699610,-0.261,-0.00034,0.1,,,,,
289,3699610,-0.511,-0.00034,0.1,,,,,
290,3699610,-0.079,-0.00034,0.1,,,,,
291,3699610,-0.046,-0.00034,0.1,,,,,
292,3699610,-657.266,-0.00034,0.1,,,,,
293,3699610,-61.747,-0.00034,0.1,,,,,
294,3699610,-60.570,-0.00034,0.1,,,,,
295,3699610,+0.048,-0.00034,0.1,,,,,
296,3699610,-3.053,-0.00034,0.1,,,,,
297,3699610,-12.910,-0.00034,0.1,,,,,
298,3699610,-24.718,-0.00034,0.1,,,,,
299,3699610,-20.712,-0.00034,0.1,,,,,
300,3699610,-5.650,-0.00034,0.1,,,,,
301,3699610,-6.514,-0.00034,0.1,,,,,
302,3699610,-2.506,-0.00034,0.1,,,,,
303,3699610,-0.223,-0.00034,0.1,,,,,
304,3699610,+0.421,-0.00034,0.1,,,,,
305,3699610,-0.186,-0.00034,0.1,,,,,
306,3699610,+0.189,-0.00034,0.1,,,,,
307,3699610,+0.379,-0.00034,0.1,,,,,
308,3699610,-0.032,-0.00034,0.1,,,,,
309,3699610,+0.764,-0.00034,0.1,,,,,
310,3699610,+0.143,-0.00034,0.1,,,,,
311,3699610,-0.797,-0.00034,0.1,,,,,
312,3699610,-0.193,-0.00034,0.1,,,,,
313,3699610,+0.804,-0.00034,0.1,,,,,
314,3699610,+0.572,-0.00034,0.1,,,,,
315,3699610,+0.710,-0.00034,0.1,,,,,
316,3699610,+0.614,-0.00034,0.1,,,,,
317,3699610,+0.706,-0.00034,0.1,,,,,
318,3699610,-0.159,-0.00034,0.1,,,,,
319,3699610,+0.476,-0.00034,0.1,,,,,
320,3699610,-0.148,-0.00034,0.1,,,,,
321,3699610,-3.016,-0.00034,0.1,,,,,
322,3699610,-7.042,-0.00034,0.1,,,,,
323,3699610,-1.124,-0.00034,0.1,,,,,
324,3699610,-0.642,-0.00034,0.1,,,,,
325,3699610,-1.105,-0.00034,0.1,,,,,
326,3699610,+0.330,-0.00034,0.1,,,,,
